row_id,itemid,label,abbreviation,dbsource,linksto,category,unitname,param_type,conceptid,count
5610,40403,thoracentesis,,carevue,outputevents,,,,,118
5612,40405,Urine Out Other,,carevue,outputevents,,,,,1827
5613,40406,Gastric Other,,carevue,outputevents,,,,,441
5628,40425,dialysis output,,carevue,outputevents,,,,,23
5629,40428,Urine Out Straight Cath,,carevue,outputevents,,,,,722
5646,40451,Paracentesis,,carevue,outputevents,,,,,48
5657,40469,pancreatic drain,,carevue,outputevents,Free Form Intake,,,,36
5658,40470,paracentesis,,carevue,outputevents,,,,,215
5659,40472,pleural tap,,carevue,outputevents,,,,,20
5670,40490,emesis,,carevue,outputevents,,,,,80
5681,40507,Dialysis out,,carevue,outputevents,,,,,27
5706,40534,urine flush,,carevue,outputevents,Free Form Intake,,,,3
5708,40536,pleural fluid,,carevue,outputevents,,,,,36
5709,40537,Cerebral Drain Subdural,,carevue,outputevents,,,,,832
5710,40538,Drain Out #2 Sump,,carevue,outputevents,,,,,104
5725,40553,t tube flush,,carevue,outputevents,Free Form Intake,,,,37
5726,40554,Drain Out #1 Sump,,carevue,outputevents,,,,,453
5749,40580,Cath Lab Output,,carevue,outputevents,Free Form Intake,,,,180
5770,40612,cath lab out,,carevue,outputevents,,,,,7
5771,40614,Drain Out #1 Jejunostomy Tube,,carevue,outputevents,,,,,244
6122,41527,HEMODIALYSIS,,carevue,outputevents,,,,,25
6962,41247,nephrostomy flush,,carevue,outputevents,Free Form Intake,,,,10
6964,41250,HEMODIALYSIS OUT,,carevue,outputevents,,,,,22
6967,41257,floor output,,carevue,outputevents,,,,,8
6988,41288,Pleural tap,,carevue,outputevents,,,,,8
7052,41359,Drain Out #1 Red Rubber,,carevue,outputevents,,,,,8
7065,41374,Dialysis Out,,carevue,outputevents,,,,,39
7072,41384,angio out,,carevue,outputevents,,,,,9
7095,41417,Hemodialysis Out,,carevue,outputevents,,,,,16
7102,41426,peg meds,,carevue,outputevents,Free Form Intake,,,,37
7111,41441,PARACENTESIS FLUID,,carevue,outputevents,,,,,3
6503,41857,urine out in er,,carevue,outputevents,,,,,1
6506,41860,subdural drain,,carevue,outputevents,,,,,10
6512,41866,Cerebral Drain Other,,carevue,outputevents,,,,,794
6513,41867,Drain Out #1 Lumbar,,carevue,outputevents,,,,,3771
6514,41868,Drain Out #1 Rt Nephrostomy,,carevue,outputevents,,,,,231
6542,41897,CVVH OUTPUT FROM OR,,carevue,outputevents,,,,,2
6598,41988,SUBDURAL DRAIN,,carevue,outputevents,,,,,2
6605,41998,LEFT THORACENTESIS,,carevue,outputevents,,,,,3
6607,42001,ER URINE,,carevue,outputevents,,,,,19
6626,42032,EXCESS PD OUTPUT,,carevue,outputevents,,,,,5
6627,42033,flush LT ct #1&2 out,,carevue,outputevents,,,,,3
6646,40848,CATH LAB OUTPUT,,carevue,outputevents,,,,,12
6678,40881,Hemodialysis,,carevue,outputevents,,,,,61
6685,40891,Pleural fluid,,carevue,outputevents,,,,,5
6686,40893,Thoracentesis,,carevue,outputevents,,,,,54
6697,40910,PERITONEAL DIALYSIS,,carevue,outputevents,,,,,2
6708,40926,Drain Out #1 JP Medial,,carevue,outputevents,,,,,8447
6711,40930,right hand drainage,,carevue,outputevents,,,,,5
6720,40942,THORACENTESIS,,carevue,outputevents,,,,,9
6730,40956,paracentesis site,,carevue,outputevents,,,,,47
6755,40990,PEG TUBE out,,carevue,outputevents,,,,,8
6756,40991,epi. of stool incont,,carevue,outputevents,,,,,11
6768,41003,chest tube,,carevue,outputevents,Free Form Intake,,,,18
6769,41004,Breast milk,,carevue,outputevents,,,,,4
6780,41015,Emesis,,carevue,outputevents,,,,,39
6781,41016,hemodialysis out,,carevue,outputevents,,,,,22
6794,41029,OR pleural fluid,,carevue,outputevents,,,,,1
6799,41034,dialysis in,,carevue,outputevents,Free Form Intake,,,,18
6800,41035,PO Contrast per NGT,,carevue,outputevents,Free Form Intake,,,,3
6801,41036,R thoracentesis,,carevue,outputevents,,,,,2
6811,41049,PD NET FLUID REMOVED,,carevue,outputevents,,,,,4
6814,41053,"ngt flush,h20",,carevue,outputevents,Free Form Intake,,,,8
6820,41062,rt/lt nepro tube flh,,carevue,outputevents,Free Form Intake,,,,14
6852,41112,Dialysys out,,carevue,outputevents,,,,,1
6876,41148,Kg removed,,carevue,outputevents,,,,,2
6883,41155,peg output,,carevue,outputevents,,,,,1
6899,41171,abd tap,,carevue,outputevents,,,,,4
6900,41172,L PLEURAL TAP,,carevue,outputevents,,,,,3
6905,41177,Nephrostomy drain,,carevue,outputevents,Free Form Intake,,,,6
6906,41178,abd drain,,carevue,outputevents,,,,,15
6912,41184,Drain Out #1 Lt Nephrostomy,,carevue,outputevents,,,,,439
6918,41190,Neuro Angio Output,,carevue,outputevents,,,,,2
6930,41202,Pleural Fld,,carevue,outputevents,,,,,2
6931,41203,LEFT LEG DRAINAGE,,carevue,outputevents,,,,,4
6938,41213,Drain Out #5 Jackson Pratt,,carevue,outputevents,,,,,216
7500,42287,drain irrigant,,carevue,outputevents,Free Form Intake,,,,197
7501,42289,dialysis off,,carevue,outputevents,,,,,2
7504,42293,R THIGH JP,,carevue,outputevents,,,,,24
7509,42300,CHOLECYSTOSTOMY TUBE,,carevue,outputevents,,,,,33
7518,42315,pericardial drain,,carevue,outputevents,,,,,35
7526,42327,L CT SITE BAG DRNG,,carevue,outputevents,,,,,14
7527,42328,R CT SITE BAG DRNG,,carevue,outputevents,,,,,15
7528,42331,Drain Out #4 Hemovac,,carevue,outputevents,,,,,34
7533,42338,paracenteis drainag.,,carevue,outputevents,,,,,37
7538,42347,ngt/bile returned,,carevue,outputevents,Free Form Intake,,,,22
7539,42348,ngt/bile aspirate,,carevue,outputevents,,,,,15
7545,42357,free h20 via ngt,,carevue,outputevents,Free Form Intake,,,,9
7548,42362,CATH LAB URINE OUTPT,,carevue,outputevents,,,,,5
7551,42367,Drain Out #3 Sump,,carevue,outputevents,,,,,244
7565,42388,DIALYSIS OUTPUT,,carevue,outputevents,,,,,9
7566,42390,PEG DRAINAGE.,,carevue,outputevents,,,,,4
7569,42397,pleural fld,,carevue,outputevents,,,,,2
7574,42403,er output,,carevue,outputevents,,,,,2
7576,42405,Drain Out #3 Wound Vac,,carevue,outputevents,,,,,433
7588,42417,NEURO-RAD OUT,,carevue,outputevents,,,,,2
7590,42419,(R) Fem drain bag,,carevue,outputevents,,,,,5
7596,42425,LT PLEURAL CT IRRIG,,carevue,outputevents,,,,,8
7602,42431,PEG,,carevue,outputevents,,,,,20
7603,42432,wound drains,,carevue,outputevents,,,,,32
7612,42441,farr 7 output,,carevue,outputevents,,,,,2
7613,42442,L GROIN DRNG,,carevue,outputevents,,,,,3
7629,42460,drain flush l,,carevue,outputevents,Free Form Intake,,,,36
7631,42463,cath lab urine,,carevue,outputevents,,,,,4
7632,42465,Drain Out #6 Other,,carevue,outputevents,,,,,64
7633,42467,Drain Out #8 Other,,carevue,outputevents,,,,,36
7637,42473,thoracentesis left,,carevue,outputevents,,,,,2
7638,42476,ostomy drainage,,carevue,outputevents,,,,,5
7644,42486,pericentesis,,carevue,outputevents,,,,,10
7652,42498,CHEST TUBE PLEURALS,,carevue,outputevents,,,,,36
7656,42505,L CT DRAINAGE SITE,,carevue,outputevents,,,,,1
7657,42507,TRUE URINE,,carevue,outputevents,,,,,27
7658,42510,Urine in cath lab,,carevue,outputevents,,,,,2
7662,42516,Chest tube pleural,,carevue,outputevents,,,,,34
7666,42523,LUMBAR DRAIN OUTPUT,,carevue,outputevents,,,,,88
7667,42524,HemoDialysis,,carevue,outputevents,,,,,3
7671,42530,farr 5 emesis,,carevue,outputevents,,,,,2
7674,42536,Dialysis output,,carevue,outputevents,,,,,66
7677,42540,R chest tube site,,carevue,outputevents,,,,,22
7683,42549,Farr 5 output,,carevue,outputevents,,,,,2
7687,42555,CAPD Output,,carevue,outputevents,,,,,2
7688,42556,CC6 URINE,,carevue,outputevents,,,,,1
7697,42569,VAC DRAINAGE,,carevue,outputevents,,,,,12
7702,42578,CONTRAST VIA NGT,,carevue,outputevents,Free Form Intake,,,,5
7710,42591,arm drain bags,,carevue,outputevents,,,,,48
7715,42597,left neck jp,,carevue,outputevents,,,,,5
7716,42598,right neck jp,,carevue,outputevents,,,,,5
7737,42619,peg tail flush,,carevue,outputevents,Free Form Intake,,,,50
